Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2007-03-01,8400430136.986301,103.56799783561644,61.18,2767688423.561644,8.835342465753424,,2007,3,,0,572599.4749394442,6762.827536808763
2007-04-01,8449520547.945206,103.54585534246576,64.34098360655737,2737154434.246576,8.801369863013699,,2007,4,,0,609945.2239665368,7655.829288148809
2007-05-01,8497027397.260274,103.52442712328768,67.4,2707605412.328768,8.768493150684932,,2007,5,,0,646614.2535155605,7693.306210306908
2007-06-01,8546117808.219178,103.50228463013698,68.65,2677071423.0136986,8.734520547945205,,2007,6,,0,646163.9051530984,8412.578692188272
2007-07-01,8593624657.534246,103.4808564109589,72.81065573770492,2647522401.0958905,8.701643835616439,,2007,7,,0,1125468.9661369794,9434.270121982736
2007-08-01,8642715068.49315,103.45871391780824,77.11,2616988411.780822,8.667671232876712,,2007,8,,0,711990.2004259463,9204.048902261262
2007-09-01,8691805479.452055,103.43657142465752,77.73,2586454422.4657536,8.633698630136987,,2007,9,,0,546612.5306008725,6961.197363280378
2007-10-01,8739312328.767124,103.41514320547944,78.33,2556905400.547945,8.600821917808219,,2007,10,,0,598277.4747295476,6783.966434281124
2007-11-01,8788402739.726027,103.39300071232876,90.36,2526371411.232877,8.566849315068493,,2007,11,,0,529726.4901647497,5013.228857630962
2007-12-01,8835909589.041096,103.37157249315068,90.70239130434784,2496822389.315068,8.533972602739727,,2007,12,,0,612105.8480586141,4221.869235048519
2008-01-01,8885000000.0,103.34943,91.05619565217393,2466288400.0,8.5,,2008,1,,0,515213.1131468374,4830.030575195631
2008-02-01,8808346994.535519,103.47380013661204,91.41,2424280486.3387976,8.457650273224044,,2008,2,,0,573169.7196111984,6430.764737537437
2008-03-01,8736639344.262295,103.59014639344262,94.92866666666666,2384982760.655738,8.418032786885245,,2008,3,,0,661844.9782270297,7894.676484619926
2008-04-01,8659986338.797813,103.71451653005464,98.69,2342974846.9945354,8.37568306010929,,2008,4,,0,665073.2998852365,8212.97971481929
2008-05-01,8585806010.928962,103.83487472677596,107.3,2302322027.3224044,8.334699453551913,,2008,5,,0,645127.5291449192,9035.902165774327
2008-06-01,8509153005.464481,103.95924486338798,124.25852459016392,2260314113.661202,8.292349726775956,,2008,6,,0,708524.8190746673,9540.60239453919
2008-07-01,8434972677.595629,104.07960306010928,140.67,2219661293.989071,8.251366120218579,,2008,7,,0,1156804.7519920385,9257.29743368069
2008-08-01,8358319672.131147,104.20397319672132,124.16,2177653380.327869,8.209016393442623,,2008,8,,0,785069.6261640757,10137.268496507233
2008-09-01,8281666666.666667,104.32834333333334,107.91295081967212,2135645466.6666665,8.166666666666666,,2008,9,,0,568114.1092583826,8967.823732889734
2008-10-01,8207486338.797814,104.44870153005463,92.19,2094992646.9945357,8.12568306010929,,2008,10,,0,660858.5331807145,7249.566369291617
2008-11-01,8130833333.333333,104.57307166666666,69.51934426229508,2052984733.3333333,8.083333333333334,,2008,11,,0,552846.8182451886,4863.690046399633
2008-12-01,8056653005.464481,104.69342986338798,47.58,2012331913.6612024,8.042349726775956,,2008,12,,0,652681.8189191598,5174.506785297039
2009-01-01,7980000000.0,104.8178,47.15471074380165,1970324000.0,8.0,,2009,1,,0,574396.6317884172,5618.881367747131
2009-02-01,7996646575.342465,104.40861698630135,46.7294214876033,1908349640.8219175,7.957534246575342,,2009,2,,0,639106.8498876309,5564.589577816147
2009-03-01,8011682191.780822,104.03903232876712,46.34528925619835,1852372800.2739725,7.919178082191781,,2009,3,,0,625349.5463930526,5315.766730799477
2009-04-01,8028328767.123287,103.6298493150685,45.92,1790398441.0958903,7.876712328767123,,2009,4,,0,734272.8729980356,8967.939495794753
2009-05-01,8044438356.164384,103.23386575342468,51.75,1730423254.7945206,7.835616438356165,,2009,5,,0,720878.3534421094,8220.674365821113
