lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
293359.29700244265,473421.7796432609,317825.37316873734,490988.8659103662,426846.19288393203,365943.32800255314,206973.00479189015,150255.67326889664,121461.51373137573,12.677972813574401,-0.8660254037844386,0.5000000000000001,4,2000,0,0,1,0,1,0,0,0,0,35.09,2025222626.6666667,15.466666666666669,111.75634,27.501475409836065,1619003366.4480877,15.55136612021858,112.54316573770492,0,0,0,0,0
353714.6418244548,293359.29700244265,262389.2792896877,373498.5728233861,427460.1440816915,368934.1003905295,91647.02590930871,149886.10008400894,120607.83897771622,11.292134513333346,-0.5000000000000004,0.8660254037844384,4,2000,0,0,1,0,0,0,2,1,0,33.383442622950824,2221780333.224044,15.425683060109291,111.37561786885246,25.24,1822112996.557377,15.509016393442623,112.14975286885246,0,0,0,0,0
297333.6948202324,353714.6418244548,351233.17953711824,314802.5445490433,421138.4138016512,371846.13501807494,33757.4057842389,155256.05126340227,118199.29967412064,13.317775644318436,-2.4492935982947064e-16,1.0,4,2000,0,0,0,0,1,1,0,1,0,31.62,2424889963.333333,15.383333333333336,110.982205,35.09,2025222626.6666667,15.466666666666669,111.75634,0,0,0,0,0
381586.72802505776,297333.6948202324,290515.8472287782,344211.68822324835,417600.27706680726,374375.5973920699,42922.87264866235,155997.24693255842,118042.76033309773,8.641993483628664,0.49999999999999994,0.8660254037844387,1,2001,0,0,0,0,0,0,2,0,0,31.59,2621447669.8907104,15.342349726775955,110.60148286885249,33.383442622950824,2221780333.224044,15.425683060109291,111.37561786885246,0,0,0,1,0
287798.1119815317,381586.72802505776,287418.0646667413,322239.5116089406,347869.04221616336,374149.1194547994,51616.86649995758,72205.53104225676,118220.75410515936,-0.935486058048416,0.8660254037844386,0.5000000000000001,1,2001,0,0,0,0,0,0,0,0,0,29.380000000000003,2824557300.0,15.3,110.20807,31.62,2424889963.333333,15.383333333333336,110.982205,0,0,0,0,0
320997.75067095616,287798.1119815317,320861.0348359824,330127.53022584855,322465.03738744586,376947.4266218173,47556.18551650893,37827.47475398377,116364.02114057781,11.68322041384219,1.0,6.123233995736766e-17,1,2001,1,0,0,0,0,0,0,0,0,27.17,2625460725.7534246,15.189589041095893,110.16582124657536,31.59,2621447669.8907104,15.342349726775955,110.60148286885249,0,0,0,0,0
308286.82701993245,320997.75067095616,350030.9346378976,305694.2298908068,324952.95905702753,375899.5759704798,16750.975260637268,35975.903690606036,116970.02657182167,-3.9188952383942968,0.8660254037844387,-0.4999999999999998,2,2001,1,0,0,0,1,0,0,0,0,24.76,2445631561.917808,15.089863013698633,110.12766108219178,29.380000000000003,2824557300.0,15.3,110.20807,0,0,0,0,0
346457.58231579495,308286.82701993245,335264.0765004745,325247.3866688945,323743.44913891755,375601.79661030456,19436.98007794202,34922.099513672336,117046.39274226417,-1.0208675772612001,0.49999999999999994,-0.8660254037844387,2,2001,1,0,0,0,1,0,1,0,0,26.055901639344263,2246534987.6712327,14.97945205479452,110.08541232876712,27.17,2625460725.7534246,15.189589041095893,110.16582124657536,0,0,0,0,0
371353.9987505213,346457.58231579495,402815.5484341213,342032.8026954162,336080.1664606324,378609.2901311417,31765.563800136002,36752.92346930899,116377.4464675585,10.764625493657901,1.2246467991473532e-16,-1.0,2,2001,0,1,0,1,0,0,0,0,0,27.31,2053860883.561644,14.872602739726029,110.04452643835616,24.76,2445631561.917808,15.089863013698633,110.12766108219178,0,0,0,0,0
429793.9596050363,371353.9987505213,706185.521085395,382535.1802237842,344114.7050572955,380857.4910620514,42778.52334147522,51142.92118178639,117145.6300618307,6.697460233545876,-0.4999999999999997,-0.8660254037844388,3,2001,0,1,0,1,1,1,1,0,0,28.86,1854764309.315068,14.76219178082192,110.00227768493151,26.055901639344263,2246534987.6712327,14.97945205479452,110.08541232876712,0,0,0,0,0
